SOURCE_ID	SOURCE_NAME	TARGET_ID	TARGET_NAME
List-2023-1308-1	WORLD	List-2023-1308-1184	COUNTRY	0	0	0	17	17	12
List-2023-1308-1	WORLD	List-2023-1308-1219	PEACE	0	0	0	8	7	4
List-2023-1308-1	WORLD	List-2023-1308-15	MAINLAND	0	0	0	4	4	4
List-2023-1308-1	WORLD	List-2023-1308-2	LAND	0	0	0	42	41	23
List-2023-1308-1	WORLD	List-2023-1308-3	EARTH (SOIL)	0	0	0	26	26	20
List-2023-1308-1	WORLD	List-2023-1308-563	FLOOR	0	0	0	12	12	10
List-2023-1308-1	WORLD	List-2023-1308-57	LIGHT (RADIATION)	0	0	0	4	4	3
List-2023-1308-1	WORLD	List-2023-1308-573	PLACE (POSITION)	0	0	0	3	3	3
List-2023-1308-1	WORLD	List-2023-1308-6	CLAY	0	0	0	5	5	4
List-2023-1308-1	WORLD	List-2023-1308-63	WEATHER	0	0	0	7	7	5
List-2023-1308-1	WORLD	List-2023-1308-846	DOWN OR BELOW	0	0	0	3	3	3
List-2023-1308-1	WORLD	List-2023-1308-977	DAY (NOT NIGHT)	0	0	0	9	9	7
List-2023-1308-2	LAND	List-2023-1308-1	WORLD	0	0	0	42	41	23
List-2023-1308-2	LAND	List-2023-1308-1184	COUNTRY	0	0	0	137	113	23
List-2023-1308-2	LAND	List-2023-1308-1185	NATIVE COUNTRY	0	0	0	9	9	6
List-2023-1308-2	LAND	List-2023-1308-12	PLAIN	0	0	0	3	3	3
List-2023-1308-2	LAND	List-2023-1308-15	MAINLAND	0	0	0	17	17	8
List-2023-1308-2	LAND	List-2023-1308-3	EARTH (SOIL)	0	0	0	123	117	35
List-2023-1308-2	LAND	List-2023-1308-4	DUST	0	0	0	5	5	5
List-2023-1308-2	LAND	List-2023-1308-563	FLOOR	0	0	0	33	32	20
List-2023-1308-2	LAND	List-2023-1308-573	PLACE (POSITION)	0	0	0	9	9	6
List-2023-1308-2	LAND	List-2023-1308-6	CLAY	0	0	0	10	9	7
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-1	WORLD	0	0	0	26	26	20
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-1184	COUNTRY	0	0	0	35	35	15
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-12	PLAIN	0	0	0	5	5	3
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-15	MAINLAND	0	0	0	10	10	6
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-2	LAND	0	0	0	123	117	35
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-4	DUST	0	0	0	11	11	8
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-5	MUD	0	0	0	6	6	4
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-563	FLOOR	0	0	0	41	41	25
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-573	PLACE (POSITION)	0	0	0	11	10	4
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-591	FIELD	0	0	0	7	7	3
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-6	CLAY	0	0	0	43	38	11
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-7	SAND	0	0	0	8	8	5
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-846	DOWN OR BELOW	0	0	0	3	3	3
List-2023-1308-4	DUST	List-2023-1308-2	LAND	0	0	0	5	5	5
